FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,d0,d1,Degradation,Evapotranspiration,g0,Growth,infil c,Infiltration,k et,k perc,r,Percolation,NDVI sim raw,NDVI sim,NDVI obs,Precipitation norm,precipitation,Soil Water,Vegetation Biomass
119,0,1,1,0.08,0.35,0.006699874381089899,0.0013572329712145134,0.01,0.01660474421114974,0.6,0.13032857227512554,0.05,0.15,0.5,0.10807258869138985,0.21810490162914786,0.25334940694406916,0.147,0.7771083892816051,964.497,0.7204839246092657,0.03767559344091045
119,0,1,1,0.08,0.35,0.008113233304673851,0.0017637665574061967,0.01,0.01950428704260894,0.6,0.03399177091295742,0.05,0.15,0.5,0.11120740128326803,0.12980779502907935,0.21810490162914786,0.11,0.21906092938738944,274.127,0.7413826752217869,0.04758046327097029
119,0,1,1,0.08,0.35,0.01168572814639361,0.001953146309633672,0.01,0.021510345280321416,0.6,0.010964606604299328,0.05,0.15,0.5,0.0993604917441105,0.10455806250507405,0.12980779502907935,0.092,0.05413069252614692,70.089,0.6624032782940701,0.05897151700890538
119,0,1,1,0.08,0.35,0.015808045435403182,0.0019677560351450125,0.01,0.022428307904309913,0.6,0.01466798417455916,0.05,0.15,0.5,0.08580813702669378,0.10601970282446838,0.10455806250507405,0.084,0.057125558813656614,73.794,0.5720542468446252,0.06879613414283318
119,0,1,1,0.08,0.35,0.019258993324069926,0.0018814367455683202,0.01,0.022408530054770233,0.6,0.0021873358825723224,0.05,0.15,0.5,0.07484195069360183,0.09870576560790002,0.10601970282446838,0.087,0.007275787167037729,12.124,0.4989463379573456,0.07541639661173992
119,0,1,1,0.08,0.35,0.022112884742326807,0.001667209513560356,0.01,0.021209564165330694,0.6,0.004805463665225724,0.05,0.15,0.5,0.06366154296011217,0.10008293085751277,0.09870576560790002,0.091,0.013914609520429666,20.337,0.4244102864007478,0.07856593334244022
119,0,1,1,0.08,0.35,0.023503778244604128,0.0014130207492195482,0.01,0.01929845996272848,0.6,0.02424456551181566,0.05,0.15,0.5,0.054583049638845145,0.10792989170910364,0.10008293085751277,0.088,0.06352269020349514,81.708,0.363886997592301,0.0776626127654441
119,0,1,1,0.08,0.35,0.023047415484023587,0.0012198887348444066,0.01,0.017574235377877605,0.6,0.09834689333449373,0.05,0.15,0.5,0.04982032390740779,0.13661393121159493,0.10792989170910364,0.099,0.24542626102023798,306.744,0.3321354927160519,0.07345729448356846
119,0,1,1,0.08,0.35,0.020204555141479143,0.0012898020058303597,0.01,0.017983651227694672,0.6,0.17195059399431548,0.05,0.15,0.5,0.056916326011244016,0.17068917514570942,0.13661393121159493,0.13,0.4618172731747949,574.445,0.37944217340829345,0.06798411437742247
119,0,1,1,0.08,0.35,0.016926442632046502,0.0016216768381882624,0.01,0.020219933723660037,0.6,0.20532578404453647,0.05,0.15,0.5,0.07397799590783018,0.20461124409080103,0.17068917514570942,0.156,0.6752182690277327,838.447,0.49318663938553453,0.06576321046363799
119,0,1,1,0.08,0.35,0.014638676697125857,0.002150814995947471,0.01,0.023378482039291198,0.6,0.12846918710633054,0.05,0.15,0.5,0.09343691260260789,0.18775586452610593,0.20461124409080103,0.19,0.56781371481613,705.575,0.6229127506840526,0.06905670155525152
119,0,1,1,0.08,0.35,0.01559602338712315,0.002550924939823729,0.01,0.02602769657273576,0.6,0.057679706102749286,0.05,0.15,0.5,0.09836913152877418,0.14246586869120298,0.18775586452610593,0.191,0.27928886250913304,348.636,0.6557942101918278,0.07779650689741686
119,0,1,1,0.08,0.35,0.019022538146354222,0.0027022256127640643,0.01,0.027651398603599407,0.6,0.1283893238595978,0.05,0.15,0.5,0.09188307897389687,0.1871890436051008,0.14246586869120298,0.152,0.5522889099799866,686.369,0.6125538598259792,0.08822818008302948
119,0,1,1,0.08,0.35,0.019737018477524723,0.003130215564970483,0.01,0.030299351463641357,0.6,0.012085183920681374,0.05,0.15,0.5,0.09695368186483741,0.10879863354322458,0.1871890436051008,0.123,0.05695580930748198,73.584,0.6463578790989161,0.09685704054027466
